,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
40,[ 137 1348],[ 113 1372],[ 140 1344],1.0,1.0,1.0,-44.99999999999999
41,[105 483],[113 476],[ 83 499],1.7857142857142856,1.3461538461538463,1.6622046959148173,-58.968437409481595
42,[ 239 1497],[ 270 1466],[ 238 1497],1.785714285714286,2.4999999999999996,2.4840704701876666,-68.07200645790608
43,[  71 2020],[  96 1996],[  67 2023],1.7857142857142856,1.7857142857142856,1.78571,-60.75111504159832
44,[  59 1126],[  83 1138],[  49 1126],-2.4999999999999996,-2.5,-2.5,68.19859051364821
45,[ 195 2217],[ 181 2231],[ 212 2209],1.7857142857142858,1.785714285714286,1.78571,-60.75111504159832
46,[ 260 2267],[ 274 2255],[ 238 2269],2.5,2.4999999999999996,2.5,-68.19859051364821
47,[  71 1169],[  82 1161],[  47 1169],2.4999999999999996,inf,3.916819844659942,-75.67781710754402
48,[  32 1963],[  12 1982],[  48 1961],2.5,2.5,2.5,-68.19859051364821
49,[  13 1954],[   8 1958],[  47 1952],2.5,2.5,2.5,-68.19859051364821
50,[ 109 2026],[ 111 2024],[  79 2044],1.5,1.3461538461538463,1.4884923065690536,-56.10597552274387
51,[ 74 507],[ 54 525],[ 83 500],1.3461538461538467,1.3461538461538463,1.34615,-53.39284682374126
52,[  52 1823],[  39 1811],[  69 1836],-1.7857142857142856,-1.3461538461538463,-1.5867827788006066,57.780624408246055
53,[  38 1066],[  28 1057],[  62 1075],-1.7857142857142858,-2.5,-2.0315749846931745,63.79225404202267
54,[ 18 305],[ 18 305],,-2.5,,-2.5,68.19859051364821
55,[ 32 457],[ 22 465],[ 57 448],1.7857142857142858,2.5,2.018013028822174,-63.63988543655959
56,[ 201 2143],[ 207 2137],[ 176 2159],1.0,1.3461538461538463,1.0769561631342506,-47.12197411736997
57,[210 680],[191 698],[221 674],1.7857142857142858,2.4999999999999996,2.26874787738786,-66.21346953476814
58,[ 158 1339],[ 173 1324],[ 146 1351],1.0,1.0,1.0,-44.99999999999999
59,[ 170 2115],[ 179 2106],[ 152 2133],1.0,1.0,1.0,-44.99999999999999
60,[199 707],[196 710],[231 697],1.7857142857142858,2.4999999999999996,1.8659476521111904,-61.81222060626482
61,[187 598],[203 581],[176 608],1.0,1.0,1.0,-44.99999999999999
62,[ 110 1773],[  84 1748],[ 112 1775],-1.1764705882352942,-1.1764705882352942,-1.17647,49.63544929005889
63,[  29 1167],[   8 1183],[  46 1166],2.5,2.5,2.5,-68.19859051364821
64,[152 217],[160 226],[133 200],-1.3461538461538463,-1.3461538461538463,-1.34615,53.39284682374126
65,[ 211 1529],[ 207 1531],[ 242 1526],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
66,[  85 1047],[ 108 1068],[  79 1043],-1.3461538461538463,-1.7857142857142856,-1.7030705592522855,59.57962070704778
67,[ 115 1281],[ 126 1270],[  96 1293],1.1764705882352942,1.3461538461538463,1.245881035539645,-51.24790912678561
68,[141 185],[116 161],[144 188],-1.0,-1.0,-1.0,44.99999999999999
69,[173  94],[172  94],[204 115],-1.3461538461538463,-1.3461538461538463,-1.34615,53.39284682374126
70,[ 210 2290],[ 205 2292],[ 240 2280],2.4999999999999996,inf,2.92573465914816,-71.12985428702989
71,[  41 2027],[  31 2037],[  63 2015],1.7857142857142858,2.5,2.043389955505348,-63.923666847800256
72,[ 236 1417],[ 243 1410],[ 212 1432],1.5,1.3461538461538463,1.4601314148768385,-55.59393196834313
73,[142 229],[150 237],[123 211],-1.3461538461538463,-1.3461538461538463,-1.3461499999999997,53.39284682374126
74,[183 628],[160 650],[188 623],1.176470588235294,1.176470588235294,1.17647,-49.63544929005889
75,[  58 1189],[  83 1174],[  49 1189],2.4999999999999996,inf,10.598544298396249,-84.60995238158677
76,[ 137 1308],[ 148 1297],[ 121 1323],1.3461538461538463,1.3461538461538463,1.34615,-53.39284682374126
77,[197  96],[181  81],[211 104],-1.785714285714286,-1.3461538461538463,-1.5323926325670294,56.872567438720374
78,[ 246 2272],[ 272 2248],[ 239 2274],2.5,2.4999999999999996,2.5,-68.19859051364821
79,[ 142 2124],[ 115 2150],[ 143 2123],1.0,1.0,1.0,-44.99999999999999
80,[  65 1022],[  54 1011],[  82 1037],-1.3461538461538467,-1.3461538461538463,-1.34615,53.39284682374126
81,[  99 2077],[  73 2102],[ 101 2076],1.3461538461538463,1.3461538461538463,1.34615,-53.39284682374126
82,[ 182 1651],[ 174 1643],[ 205 1665],-1.5,-1.3461538461538463,-1.4544812936457514,55.49029709900485
83,[ 225 1676],[ 236 1688],[ 207 1663],-1.3461538461538463,-1.3461538461538463,-1.3461500000000002,53.392846823741266
84,[112 249],[127 265],[100 238],-1.1764705882352942,-1.1764705882352942,-1.17647,49.63544929005889
85,[ 67 236],[ 59 228],[ 90 250],-1.1764705882352942,-1.3461538461538463,-1.226672236556314,50.81260979513131
86,[  79 1048],[ 105 1074],[  77 1046],-1.5,-1.5,-1.5,56.30993247402022
87,[  35 1157],[   8 1183],[  46 1157],2.5,inf,11.018938551814232,-84.81445018531078
88,[269 722],[277 715],[240 727],2.5,2.4999999999999996,2.5,-68.19859051364821
89,[219 710],[201 724],[233 703],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
90,[  82 1090],[  93 1099],[  61 1080],-2.4999999999999996,-2.5,-2.4999999999999996,68.19859051364818
91,[ 263 2247],[ 270 2242],[ 235 2257],2.5,2.4999999999999996,2.5,-68.19859051364821
92,[  93 1330],[  83 1339],[ 114 1316],1.0,1.3461538461538463,1.1203585711174138,-48.248811790218994
93,[ 206 1664],,[ 206 1664],,-1.5,-1.5,56.30993247402022
94,[  29 1921],[   8 1905],[  46 1922],-2.5,-2.5,-2.5,68.19859051364821
95,[  61 1939],[  82 1937],[  47 1943],2.4999999999999996,2.5,2.5,-68.19859051364821
96,[ 230 2279],[ 206 2298],[ 239 2277],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
97,[  46 2023],[  31 2037],[  63 2015],1.7857142857142858,2.5,2.158573930658944,-65.14318131950084
98,[ 103 1262],[ 113 1252],[  82 1273],1.3461538461538463,1.3461538461538463,1.34615,-53.39284682374126
99,[ 270 1527],[ 282 1521],[ 243 1527],2.5,2.4999999999999996,2.5,-68.19859051364821
100,[128 949],[116 937],[143 964],-1.3461538461538463,-1.176470588235294,-1.2707366666666664,51.79919673012055
101,[ 155 2086],[ 158 2083],[ 131 2110],1.0,1.0,1.0,-44.99999999999999
102,[177 865],[176 865],[207 886],-1.3461538461538463,-1.3461538461538463,-1.3461500000000002,53.392846823741266
103,[ 176 1338],[ 182 1334],[ 154 1359],1.3461538461538463,1.176470588235294,1.3136295312026964,-52.71980872294152
104,[ 148 1714],[ 130 1697],[ 158 1724],-1.0,-1.0,-1.0,44.99999999999999
105,[ 50 494],[ 40 503],[ 73 483],1.7857142857142856,1.7857142857142856,1.7857099999999997,-60.751115041598304
106,[ 148 1308],[ 153 1302],[ 126 1329],1.0,1.0,1.0,-44.99999999999999
107,[  40 1145],[  10 1115],[  46 1146],-2.5,-2.5,-2.5,68.19859051364821
108,[149 990],[ 160 1002],[133 975],-1.0,-1.0,-1.0,44.99999999999999
109,[264 689],[268 685],[233 701],2.5,2.4999999999999996,2.5,-68.19859051364821
110,[244 721],[271 694],[239 723],2.5,2.4999999999999996,2.5,-68.19859051364821
111,[ 192 1427],[ 174 1444],[ 204 1421],1.3461538461538463,1.3461538461538463,1.3461499999999997,-53.39284682374126
112,[ 223 1572],[ 207 1557],[ 241 1572],-2.4999999999999996,-2.5000000000000004,-2.5,68.19859051364821
113,[255 793],[279 812],[242 793],-2.5,-2.4999999999999996,-2.5,68.19859051364821
114,[ 267 1465],[ 269 1464],[ 234 1479],2.5,2.4999999999999996,2.5,-68.19859051364821
115,[  35 1219],[  19 1232],[  54 1214],2.5,2.5,2.5,-68.19859051364821
