,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
1381,[919 227],[943 199],[911 249],0.3,0.30000000000000004,0.3,-16.69924423399362
1382,[267 114],[307 154],[264 108],-0.3,-0.30000000000000004,-0.3,16.69924423399362
1383,[121 439],[130 432],[ 81 465],2.4999999999999996,2.4999999999999996,2.4999999999999996,-68.19859051364818
1384,[1356  615],[1338  631],[1383  593],1.3461538461538463,1.3461538461538463,1.34615,-53.39284682374126
1385,[433 111],[423 141],[438  86],0.30000000000000004,0.3,0.30000000000000004,-16.69924423399362
1386,[557 630],[533 602],[564 653],-0.30000000000000004,-0.30000000000000004,-0.3,16.69924423399362
1387,[257 142],[278 164],[244 116],-0.3,-0.30000000000000004,-0.30000000000000004,16.69924423399362
1388,[1422  136],[1456  168],[1410  131],-1.3461538461538463,-1.3461538461538463,-1.34615,53.39284682374126
1389,[1417  693],[1384  724],[1432  685],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
1390,[427 656],[423 621],[431 676],-0.30000000000000004,-0.30000000000000004,-0.3,16.69924423399362
1391,[1432  622],[1458  597],[1411  633],1.7857142857142858,2.4999999999999996,2.2167196291451248,-65.71905303702168
1392,[1281  277],[1307  303],[1269  255],-0.5,-0.5,-0.5,26.56505117707799
1393,[1129  494],[1129  533],[1129  477],0.0,0.30000000000000004,0.2089285714285714,-11.800971013046823
1394,[1435  660],[1472  623],[1425  662],1.7857142857142858,2.4999999999999996,2.383494910918157,-67.23941846333403
1395,[1260  520],[1228  553],[1266  506],0.30000000000000004,0.5,0.45022283160923793,-24.238361738787408
1396,[954 291],[929 318],[959 265],0.30000000000000004,0.30000000000000004,0.3,-16.69924423399362
1397,[164 240],[170 247],[125 209],-1.0,-1.3461538461538463,-1.0540546665844779,46.507452383549705
1398,[1397   29],[1387   22],[1437   58],-2.4999999999999996,-2.4999999999999996,-2.5,68.19859051364821
1399,[1251  296],[1273  318],[1236  268],-0.5,-0.30000000000000004,-0.40103703614871755,21.85261339892296
1400,[672 123],[700  95],[662 143],0.5,0.5,0.5,-26.56505117707799
1401,[447  56],[474  28],[447  86],0.3,0.0,0.13062921060029534,-7.442361245986523
1402,[1093  314],[1067  345],[1096  286],0.30000000000000004,0.30000000000000004,0.3,-16.69924423399362
1403,[ 77 501],[ 43 534],[ 91 496],1.7857142857142856,2.4999999999999996,2.329411875254088,-66.76649531513378
1404,[712 135],[736 111],[702 160],0.5,0.30000000000000004,0.38847436660593393,-21.229872264259907
1405,[1319  577],[1301  595],[1340  550],0.8,0.7000000000000001,0.7573325983110645,-37.13783388390705
1406,[323 642],[348 617],[321 669],0.30000000000000004,0.30000000000000004,0.29999999999999993,-16.69924423399362
1407,[ 28 387],[  8 405],[ 68 387],2.5,2.5000000000000004,2.5000000000000004,-68.19859051364821
1408,[309 692],[282 723],[315 669],0.30000000000000004,0.30000000000000004,0.3,-16.69924423399362
1409,[424 646],[423 621],[431 676],-0.30000000000000004,-0.30000000000000004,-0.3,16.69924423399362
1410,[701 618],[734 652],[695 605],-0.5,-0.30000000000000004,-0.34641165198381124,19.106681598729068
1411,[1465  739],[1500  706],[1439  713],2.4999999999999996,inf,5.770644490710567,-80.16879809836034
1412,[1311  516],[1345  481],[1305  525],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
1413,[209 562],[211 558],[170 600],0.7000000000000001,0.7000000000000001,0.6999999999999998,-34.992020198558656
1414,[144 572],[184 532],[142 574],1.0,1.0,1.0,-44.99999999999999
1415,[197 676],[188 685],[225 637],0.6,0.7000000000000001,0.6209553349082428,-31.838434090427597
1416,[508 711],[520 726],[487 671],-0.30000000000000004,-0.30000000000000004,-0.3,16.69924423399362
1417,[853 239],[816 276],[856 229],0.30000000000000004,0.3,0.3,-16.69924423399362
1418,[487  63],[511  34],[486  90],0.3,0.30000000000000004,0.3,-16.69924423399362
1419,[803 190],[836 156],[797 203],0.5,0.5,0.5,-26.56505117707799
1420,[755 218],[735 240],[765 189],0.5,0.3,0.4015620248644811,-21.87852086414298
1421,[1387   89],[1372   75],[1421  107],-1.7857142857142858,-2.4999999999999996,-2.034162972154822,63.821144284351114
1422,[313 144],[319 151],[275 104],-0.3,-0.30000000000000004,-0.30000000000000004,16.69924423399362
1423,[1034  239],[1043  224],[1030  279],0.3,0.30000000000000004,0.3,-16.69924423399362
1424,[170 571],[196 544],[154 586],1.0,1.0,1.0,-44.99999999999999
1425,[1364  159],[1337  132],[1379  174],-1.176470588235294,-1.176470588235294,-1.17647,49.63544929005889
1426,[879 195],[892 180],[866 232],0.3,0.30000000000000004,0.3,-16.69924423399362
1427,[739 120],[743 114],[702 160],0.5,0.30000000000000004,0.4766251364968726,-25.483642473138783
1428,[104 200],[ 77 174],[120 215],-1.3461538461538463,-1.3461538461538463,-1.34615,53.39284682374126
1429,[940 230],[962 205],[935 257],0.3,0.30000000000000004,0.29999999999999993,-16.69924423399362
1430,[1011  310],[992 334],[1017  278],0.30000000000000004,0.30000000000000004,0.30000000000000004,-16.69924423399362
1431,[135 545],[167 512],[125 553],1.3461538461538463,1.3461538461538463,1.34615,-53.39284682374126
1432,[1440  578],[1444  575],[1400  615],1.3461538461538463,1.3461538461538463,1.3461500000000002,-53.392846823741266
1433,[808 593],[824 611],[792 561],-0.30000000000000004,-0.5,-0.38046467689757735,20.830052037037206
1434,[774 515],[768 507],[804 555],-0.5,-0.5,-0.5,26.56505117707799
1435,[1351  509],[1364  494],[1329  541],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
1436,[117 316],[131 326],[ 78 307],-2.4999999999999996,-2.4999999999999996,-2.5000000000000004,68.19859051364821
1437,[1109  244],[1109  229],[1136  284],0.0,-0.30000000000000004,-0.07113531996969856,4.068899650831517
1438,[639 681],[645 689],[604 641],-0.30000000000000004,-0.30000000000000004,-0.29999999999999993,16.69924423399362
1439,[152 505],[158 498],[112 535],1.3461538461538463,1.7857142857142856,1.414582525085873,-54.74265576053763
1440,[1384  578],[1419  543],[1377  585],1.176470588235294,1.176470588235294,1.17647,-49.63544929005889
1441,[685 562],[673 550],[702 601],-0.5,-0.30000000000000004,-0.44297014061608625,23.891912430877507
1442,[644 678],[651 687],[613 638],-0.5,-0.30000000000000004,-0.4632249389921451,24.854748648076015
1443,[1331  481],[1336  475],[1296  520],0.6,0.7000000000000001,0.6129711347744745,-31.507095039275626
1444,[ 47 401],[ 11 434],[ 69 400],2.5,2.4999999999999996,2.4999999999999996,-68.19859051364818
1445,[188 215],[193 221],[151 179],-1.0,-1.0,-1.0,44.99999999999999
1446,[189 157],[224 194],[183 152],-0.7000000000000001,-0.7000000000000002,-0.7,34.99202019855866
1447,[1310  573],[1294  589],[1331  543],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
1448,[893 212],[915 189],[881 238],0.3,0.30000000000000004,0.3,-16.69924423399362
1449,[704 621],[734 652],[695 605],-0.5,-0.30000000000000004,-0.3597024208154826,19.783781056998397
